Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank
2018,Alabama,1,1,-49,SEC,N,F,Louisville,ACC,37,Win,N,-1,7.3,18,138,Completed,100.000,0.0,1
2018,Alabama,2,1,-42,SEC,H,F,Arkansas State,Sun Belt,50,Win,N,0,6.300672834,-49,208,Completed,100.000,0.0,1
2018,Alabama,3,1,-36,SEC,A,F,Mississippi,SEC,55,Win,N,-1,6.725181598,-7,520,Completed,100.000,0.0,1
2018,Alabama,4,1,-21,SEC,H,F,Texas A&M,SEC,22,Win,N,-2,7.117424242,32,-312,Completed,100.000,0.0,1
2018,Alabama,5,1,-49,SEC,H,F,La.-Lafayette,Sun Belt,42,Win,N,-2,16.28448276,-15,8,Completed,100.000,0.0,1
2018,Alabama,6,1,-49,SEC,A,F,Arkansas,SEC,34,Win,N,-3,16.12910798,11,-352,Completed,100.000,0.0,1
2018,Alabama,7,1,-49,SEC,H,F,Missouri,SEC,29,Win,N,-2,9.191256831,7,274,Completed,100.000,0.0,1
2018,Alabama,8,1,-49,SEC,A,F,Tennessee,SEC,37,Win,N,0,5.527840909,-23,306,Completed,100.000,0.0,1
2018,Appalachian State,5,50,0,Sun Belt,H,F,S. Alabama,Sun Belt,45,Win,N,1,3.920588235,-46,-136,Completed,75.000,0.0,40
2018,Appalachian State,6,40,-10,Sun Belt,N,P,na ,na,0,DNP,N,na,na,na,na,DNP,75.000,0.0,31
2018,Appalachian State,7,31,-19,Sun Belt,A,F,Arkansas State,Sun Belt,26,Win,N,-3,1.235772358,-15,-176,Completed,80.000,0.0,29
2018,Appalachian State,8,29,-21,Sun Belt,H,F,La.-Lafayette,Sun Belt,14,Win,N,0,0.476470588,-10,316,Completed,83.333,0.0,25
2018,Arizona State,2,50,35,PAC 12,H,U,Michigan State,Big 10,3,Win,N,0,2.204545455,-42,-250,Completed,100.000,0.0,23
2018,Arizona State,3,23,-27,PAC 12,A,F,San Diego State,MWC,-7,Lose,N,-1,0.010714286,-46,-730,Completed,66.667,0.0,35
2018,Auburn,1,9,3,SEC,N,F,Washington,PAC 12,5,Win,N,-2,1.46025641,16,120,Completed,100.000,0.0,7
2018,Auburn,2,7,-43,SEC,H,F,Alabama State,FCS,54,Win,N,,,,,Completed,100.000,0.0,7
2018,Auburn,3,7,-5,SEC,H,F,LSU,SEC,-1,Lose,N,2,-2.144588745,20,-608,Completed,66.667,0.0,9
2018,Auburn,4,9,-41,SEC,H,F,Arkansas,SEC,31,Win,N,-2,1.948051948,-17,-298,Completed,75.000,0.0,10
2018,Auburn,5,10,-40,SEC,H,F,Southern Miss,CUSA,11,Win,N,-2,3.424242424,32,78,Completed,80.000,0.0,8
2018,Auburn,6,8,-31,SEC,A,F,Mississippi State,SEC,-14,Lose,N,1,1.093718843,-5,-1426,Completed,66.667,0.0,21
2018,Auburn,8,50,0,SEC,A,F,Mississippi,SEC,15,Win,N,0,4.575052854,45,-22,Completed,62.500,0.0,36
2018,Boise State,1,22,-19,MWC,A,F,Troy,Sun Belt,36,Win,N,-3,5.866883117,2,-542,Completed,100.000,0.0,20
2018,Boise State,2,20,-30,MWC,H,F,Connecticut,AAC,55,Win,N,-1,8.471014493,27,962,Completed,100.000,0.0,17
2018,Boise State,3,17,-7,MWC,A,F,Oklahoma State,Big 12,-23,Lose,N,1,-4.352490421,15,548,Completed,66.667,0.0,27
2018,Boise State,4,27,-23,MWC,N,P,na ,na,0,DNP,N,na,na,na,na,DNP,66.667,0.0,27
2018,Boise State,5,27,-23,MWC,A,F,Wyoming,MWC,20,Win,N,-1,2.123255814,12,1226,Completed,75.000,0.0,26
2018,Boston College,1,34,-16,ACC,H,F,Massachussetts,Independent,34,Win,N,-3,7.150359315,30,180,Completed,100.000,0.0,28
2018,Boston College,2,28,-22,ACC,H,F,Holy Cross,FCS,48,Win,N,,,,,Completed,100.000,0.0,28
